"hawker","type","stars","votes","status","address","datetime"
"Bahrakath Mutton Soup","Hawker Stall ","4.3","95","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Adam's Desserts","Hawker Stall ","4.3","95","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Adam Fishball Noodle (#01-25)","Hawker Stall ","4.6","52","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Fruitopia","Hawker Stall ","4.8","48","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Adam's Delights","Hawker Stall ","4.8","48","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Siti Nur Liyana Nasi Lemak","Hawker Stall ","4.3","39","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Adam's Indian Rojak","Hawker Stall ","4.3","39","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Fried Kway Teow Prawn Mee Oyster Carrot Cake (Adam Road)","Hawker Stall ","3.9","34","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Zaiton Satay","Hawker Stall ","3.4","32","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Ibrahim Mee Stall","Hawker Stall ","2.8","31","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"成記 Cheng Ji","Hawker Stall ","3.6","28","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Stewart Fruit Juice","Hawker Stall ","3.5","24","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Adam Chicken Rice","Restaurant ","4.0","23","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Pondok Satay","Hawker Stall ","2.1","20","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Yummy Rojak","Restaurant ","1.5","20","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Adam Seafood BBQ","Hawker Stall ","4.2","19","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Taj Mahal Drinks Stall","Hawker Stall ","3.3","17","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Nasi Singapura since 1974","Hawker Stall ","4.3","16","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Apit Drink Stall","Hawker Stall ","3.9","16","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Al-Sheik Mee Stall","Hawker Stall ","3.5","15","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"The Sugarcane Plant","Hawker Stall ","4.9","12","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Thajudeen Teh Tarik","Hawker Stall ","3.6","11","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"House of Braised Duck","Hawker Stall ","2.9","8","Unknown","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Yu Kee Duck Rice. Kway Chap. Porridge","Restaurant ","1.9","7","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Adam Drink Store","Hawker Stall ","5.0","6","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Adam's Fried Hokkien Mee","Hawker Stall ","5.0","6","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Seng Teck Kee","Hawker Stall ","3.8","4","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"You Ji","Hawker Stall ","1.0","1","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Bedok Corner Hokkien Prawn Mee","Hawker Stall ","4.1","790","Inactive","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Ye Lai Xiang Cheng Tng","Hawker Stall ","4.3","99","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Green Sky Fried Kway Teow","Hawker Stall ","3.4","73","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Satay Solo","Hawker Stall ","3.8","68","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"yang epok epok","Hawker Stall ","3.9","65","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
