"hawker","type","stars","votes","status","address","datetime"
"順興什菜飯","Restaurant","5.0","1","Active","Chong Pang Market & Food Centre","2024-10-06"
"Yu Xing Seafood Retail","Fish store ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"Hung Lung Chung","Grocery store ","5.0","1","Unknown","Chong Pang Market & Food Centre","2024-10-06"
"Ju Yuan Zhai Vegetarian","Hawker Stall ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"佛心素食","Restaurant ","5.0","1","Active","Chong Pang Market & Food Centre","2024-10-06"
"Loh Kong Wang","Food ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"Kenny's Western Food","Food ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"#01-72 Snack Bar","Snack bar ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"Duck Paradise","Hawker Stall ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"Shun Li Drinks St","Convenience store ","5.0","1","Unknown","Chong Pang Market & Food Centre","2024-10-06"
"Phua Ai Ngo","Food ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"Ng Hwee Ngoh","Food ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"Mutton Stall","Restaurant ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"義順燒臘","Hawker Stall ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"富城美食","Coffee shop","5.0","1","Active","Chong Pang Market & Food Centre","2024-10-06"
"Go Market","Convenience store ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"輝哥鮮花","Hawker Stall ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"#01-08 Grocery Store","Grocery store ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"Lucky","Hawker Stall ","5.0","1","Active","Chong Pang Market & Food Centre","2024-10-06"
"Vegetarian Food 3 Vegs Rice Bee Hoon Set","Hawker Stall ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"#01-24 Hawker Stall","Hawker Stall ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"Fried Kway Teow","Restaurant ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"#01-83 Butcher Shop","Butcher shop ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"Ng Buang Hong","Grocery store ","5.0","1","Unknown","Chong Pang Market & Food Centre","2024-10-06"
"#01-116 Grocery Store","Grocery store ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"Wong Wong Coffee & Drink Stall","Cafe ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"Eye Care Central","General store ","5.0","1","Unknown","Chong Pang Market & Food Centre","2024-10-06"
"Triumph","Bar","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"Lim Kim Liat","Grocery store ","5.0","1","Unknown","Chong Pang Market & Food Centre","2024-10-06"
"Yao Xing Sundry Goods","Convenience store ","5.0","1","Active","Chong Pang Market & Food Centre","2024-10-06"
"Mei Wei Food Stall","Restaurant ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"Ah Koon Western Food","Restaurant ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"Tea Ah Niaa","Food ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"百年 Bai Nian","Restaurant ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"Toh Lee Moi","Food ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"老廣黑叉烧","Hawker Stall ","5.0","1","Active","Chong Pang Market & Food Centre","2024-10-06"
"Kedai Atok Goreng Pisang","Coffee shop ","5.0","1","Active","Chong Pang Market & Food Centre","2024-10-06"
"Rainbow","Hawker Stall ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"Fen Lan","Juice ","5.0","1","Active","Chong Pang Market & Food Centre","2024-10-06"
"Lao Ban Soya Beancurd","Dessert shop ","5.0","1","Active","Chong Pang Market & Food Centre","2024-10-06"
"Sun East Chinese Medical Hall","Supermarket ","5.0","1","Unknown","Chong Pang Market & Food Centre","2024-10-06"
"Chao Zhou Yu Zho","Restaurant ","5.0","1","Inactive","Chong Pang Market & Food Centre","2024-10-06"
"Coffee Powder 32","Coffee wholesaler ","5.0","1","Active","Chong Pang Market & Food Centre","2024-10-06"
"Ding Hao Cooked Food","Hawker Stall ","5.0","1","Active","Chong Pang Market & Food Centre","2024-10-06"
"Chong Pang 150 Western Food","Hawker Stall ","5.0","1","Active","Chong Pang Market & Food Centre","2024-10-06"
"Hup Hup Mee Siam・Laksa・Lor Mee","Hawker Stall ","4.7","217","Active","Circuit Road Market & Food Centre 80 Circuit Road, S(370080)","2024-10-06"
"333 Carrot Cake","Hawker Stall ","4.8","60","Active","Circuit Road Market & Food Centre 80 Circuit Road, S(370080)","2024-10-06"
"YUAN Porridge & Handmade Noodles 源 粥品・手工麵","Breakfast ","4.3","53","Active","Circuit Road Market & Food Centre 80 Circuit Road, S(370080)","2024-10-06"
"Tian Xiang","Hawker Stall ","4.6","16","Active","Circuit Road Market & Food Centre 80 Circuit Road, S(370080)","2024-10-06"
"Leong Kee Noodle 梁記麵食","Hawker Stall ","4.0","11","Active","Circuit Road Market & Food Centre 80 Circuit Road, S(370080)","2024-10-06"
"Tuck Bee Cooked Food 達美熟食","Hawker Stall ","4.1","8","Active","Circuit Road Market & Food Centre 80 Circuit Road, S(370080)","2024-10-06"
"Number 10 Noodle House 10號麵家","Hawker Stall ","4.1","7","Active","Circuit Road Market & Food Centre 80 Circuit Road, S(370080)","2024-10-06"
"Eng Hwa Western Food","Hawker Stall ","4.8","6","Active","Circuit Road Market & Food Centre 80 Circuit Road, S(370080)","2024-10-06"
"Leng Heng Hot / Cold Drink","Hawker Stall ","3.8","4","Active","Circuit Road Market & Food Centre 80 Circuit Road, S(370080)","2024-10-06"
"Lin Ming Ji Niang Dou Fu","Hawker Stall ","3.3","3","Active","Circuit Road Market & Food Centre 80 Circuit Road, S(370080)","2024-10-06"
"Hock Kee Drinks 福記饮料","Hawker Stall ","4.7","3","Active","Circuit Road Market & Food Centre 80 Circuit Road, S(370080)","2024-10-06"
"YJ Mart","Indian grocery store ","5.0","2","Active","Circuit Road Market & Food Centre 80 Circuit Road, S(370080)","2024-10-06"
"Xiang Yuan Vegetarian Food 香苑素食","Hawker Stall ","4.5","2","Active","Circuit Road Market & Food Centre 80 Circuit Road, S(370080)","2024-10-06"
"Xin Xiang Nasi Lemak","Hawker Stall ","3.5","2","Active","Circuit Road Market & Food Centre 80 Circuit Road, S(370080)","2024-10-06"
"Spinach Soup, Porridge and Claypot rice (#01-79)","Coffee shop ","5.0","1","Unknown","Circuit Road Market & Food Centre 80 Circuit Road, S(370080)","2024-10-06"
"Butcher Shop","Butcher shop ","5.0","1","Active","Circuit Road Market & Food Centre 80 Circuit Road, S(370080)","2024-10-06"
"Hup Heng Cafe","Restaurant ","4.0","1","Active","Circuit Road Market & Food Centre 80 Circuit Road, S(370080)","2024-10-06"
"Fatty Seng Seng Fresh & Frozen seafood","Hawker Stall ","5.0","1","Active","Circuit Road Market & Food Centre 80 Circuit Road, S(370080)","2024-10-06"
"Muhammad UWAIS Muslim Food","Indian Muslim Restaurant ","5.0","1","Active","Circuit Road Market & Food Centre 80 Circuit Road, S(370080)","2024-10-06"
"Bar 1","Bar","5.0","1","Unknown","Circuit Road Market & Food Centre 80 Circuit Road, S(370080)","2024-10-06"
"CCK 190 Wanton Mee","Hawker Stall ","4.0","165","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"89 Carrot Cake 菜頭粿","Hawker Stall ","4.3","81","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Hao Ji Cantonese Porridge 好记广东粥","Hawker Stall ","4.2","76","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Boon Keng Food Stall 文慶熟食","Breakfast ","4.3","37","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Guan's Cafe","Breakfast ","4.3","37","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Good Morning Eating House 早安小食","Breakfast ","4.3","28","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"U Fried Carrot Cake","Hawker Stall ","4.4","21","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Jia Le Prawn Mee & Loh Mee","Breakfast ","4.5","20","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Shun Shun Lai Laksa","Hawker Stall ","3.7","17","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Noor Jazila","Hawker Stall ","4.2","10","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"LEONG KEI (良记）","Hawker Stall ","5.0","10","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Pong Tian Vegetarian (齋)","Hawker Stall ","4.9","9","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Kampong Bugis Hakka Yong Tau Fu","Hawker Stall ","3.9","8","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Yi Xiang Vegetarian","Vegetarian ","5.0","7","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Ya Kun Prawn Noodles","Hawker Stall ","4.1","7","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Guan Kee Soya Bean & Dessert","Hawker Stall ","5.0","6","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"78 Fish Ball Noodles 魚圓麵","Hawker Stall ","4.2","5","Unknown","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Cai Long 财龙Coffee","Hawker Stall ","4.6","5","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Makanan Singapura","Hawker Stall ","4.4","5","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Heng Heng Fish Ball Minced Meat Noodle","Restaurant ","3.8","4","Unknown","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Yong Tau Fu 酿豆腐","Hawker Stall ","3.5","4","Unknown","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Basith Aashik Aafig","Hawker Stall ","5.0","4","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Chun Tian Coffee Store","Hawker Stall ","4.5","4","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Siglap Chwee Kuey","Hawker Stall ","4.3","3","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Curry Rice","Hawker Stall ","4.7","3","Unknown","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Hainanese Chicken Rice 南美鸡饭","Hawker Stall ","3.3","3","Unknown","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Anak Ramah Malay Cuisine","Hawker Stall ","4.7","3","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Seng Leong Coffee Powder","Hawker Stall ","5.0","2","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Chang Xin Coffee Stall","Hawker Stall ","4.5","2","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"The Fresh Bread Shop 新鲜面包店","Hawker Stall ","4.0","2","Unknown","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"9supply - Yong Tau Foo","Food products supplier ","5.0","2","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"潮州果条面 Teochew kway tiao noodle","Hawker Stall ","4.5","2","Unknown","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Makan Kechil Corner","Hawker Stall ","5.0","1","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Delisnacks","Deli ","3.0","1","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Xi Ji Roast Meat","Hawker Stall ","4.0","1","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"89 Mushroom Minced Pork Noodle","Hawker Stall ","4.0","1","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Ah Zhen Bread 阿珍麵包","Hawker Stall ","3.0","1","Unknown","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"添助糕點","Deli","3.0","1","Unknown","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Kakilang","Fish store ","3.0","1","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Organic Food","Organic food store ","3.0","1","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Hao hao chi 好好吃","Hawker Stall ","3.0","1","Unknown","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Ah Ping Provision (亚平杂货商)","Asian grocery store ","3.0","1","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Tian Lai Roasted Meat","Hawker Stall ","3.0","1","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"Lim Guan Huat","Convenience store ","3.0","1","Unknown","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"AH KUN PRAWN NOODLE","Chinese ","3.0","1","Active","MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","2024-10-06"
"順利 Soon Lee Porridge (#01-50)","Hawker Stall ","3.9","263","Active","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Chai Ho Satay","Hawker Stall ","4.1","182","Active","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Clementi Hong Kee Villa","Hawker Stall ","3.2","107","Active","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Bedok Chwee Kueh","Hawker Stall ","2.2","96","Active","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Boon Kee Wanton Noodle","Hawker Stall ","3.7","72","Active","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Kee Hock cooked food","Hawker Stall ","4.0","59","Active","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Whampoa Soya Bean","Hawker Stall ","3.5","58","Active","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Song Fish Soup","Hawker Stall ","3.6","49","Active","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Kian Seng Lor Mee Prawn Mee Laksa","Hawker Stall ","3.9","44","Active","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Fong's Dee Curry Puff","Hawker Stall ","3.9","44","Active","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Nam Kee Fried Prawn Noodle","Hawker Stall ","2.8","37","Active","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Yong Fa Hainanese Curry Rice & Curry Fish Head","Hawker Stall ","3.6","34","Active","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"ABANG By Pondok Abang","Hawker Stall ","3.3","32","Active","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Liang Chuan Fishball Minced Meat Noodle","Hawker Stall ","3.1","32","Unknown","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Zheng Zhi Wen Ji Pig’s Organ Soup","Hawker Stall ","3.9","19","Unknown","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Pontian Wanton Noodles (#01-48)","Hawker Stall ","1.5","17","Unknown","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"碳烤黑叉烧","Hawker Stall ","4.1","15","Active","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Fu Xiang 富翔 (#01-09)","Hawker Stall ","3.1","14","Unknown","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Fong's Rojak","Hawker Stall ","3.1","14","Unknown","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Teo Soon Heng Cockles Fried Kway Teow","Hawker Stall ","3.8","12","Unknown","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Siti Laila Muslim Food","Hawker Stall ","2.9","8","Active","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Soon Huat Cooked Food 順發熟食","Hawker Stall ","2.9","7","Unknown","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"素Ji Xiang","Vegetarian ","4.6","5","Active","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Hup Heng Cafe","Hawker Stall ","4.5","4","Unknown","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Kaka Sugar Cane Juice","Juice ","4.8","4","Active","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Sayed Aminah Muslim Food","Hawker Stall ","2.3","3","Active","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Kim Chye","Hawker Stall ","4.0","3","Unknown","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Li Da Biscuit & Confectionery","Bakery ","4.5","2","Active","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"QMeal Fragrant Chicken Rice - Clementi (#01-42)","Hawker Stall ","3.0","2","Unknown","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Coffee Kid","Hawker Stall ","3.0","2","Unknown","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Lian Huat","Grocery store ","3.0","1","Active","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Hai's Roast Meat","Grocery store ","3.0","1","Active","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"#01-18 Hawker Stall","Hawker Stall ","3.0","1","Unknown","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Bibi Kitchen (Nasi Lemak set)","Coffee shop ","3.0","1","Unknown","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"潮州鱼粥大排挡 Teochew Fish Porridge Da Pai Dang","Hawker Stall ","3.0","1","Active","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Heng Heng Sugar Cane & Bean Juice","Hawker Stall ","3.0","1","Active","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"Meng Heng Tofu Stall","Hawker Stall ","3.0","1","Unknown","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"N. Ranjen Curry Powder Stall","Spice store ","3.0","1","Unknown","Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","2024-10-06"
"West Coast Food Centre","Hawker center ","4.1","759","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Soon Lee Fishball Noodle","Hawker Stall ","4.0","77","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"He Ji Braised Duck","Hawker Stall ","4.6","67","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Blue Dragonfly Minced Meat Noodle","Hawker Stall ","4.6","53","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Xin Xin Famous Fried Oyster","Hawker Stall ","4.0","37","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Sliced Fish. Fish Head. Seafood Soup","Hawker Stall ","4.5","34","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"88 Chicken Rice","Hawker Stall ","4.2","34","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Paris Western Grill","Hawker Stall ","4.0","32","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"San Yuan Vegetarian","Hawker Stall ","3.8","29","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Beng Huat Coffee Stall","Coffee shop ","3.7","29","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Happiness Healthy Fish Meat Soup","Hawker Stall ","4.0","23","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Jia Le Yong Tau Foo 家乐酿豆腐 (#01-159)","Hawker Stall ","3.3","19","Unknown","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Heng Heng Boneless Duck Rice","Hawker Stall ","4.7","18","Inactive","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Whampoa Soya Bean","Hawker Stall ","3.4","18","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Wang Jiao Handmade Noodle","Hawker Stall ","4.6","17","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"纽頓 Newton","Hawker Stall ","2.8","17","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Arifin Ali Indian Muslim Food 01-176","Hawker Stall ","3.4","16","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Dong Dong Fish Soup","Hawker Stall ","3.2","13","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Hup Heng Noodle House","Hawker Stall ","3.3","13","Unknown","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Dong Dong Food Express","Hawker Stall ","3.5","12","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Hiang Yuan Fish Ball Noodle 香园鱼圆面","Hawker Stall ","4.3","11","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"平平粿汁猪什汤 Ping Ping Kway Chap & Pig's Organ Soup","Hawker Stall ","4.3","11","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Ho Heng Coffee","Hawker Stall ","4.6","10","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Chef Gan H.K Bakery","Chinese bakery ","4.4","9","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Bedok 511 BBQ Chicken Wing(CL)","Hawker Stall ","4.8","9","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Yong Sheng 永胜","Hawker Stall ","3.9","9","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Mei Fong Roasted Duck 美峰燒臘","Hawker Stall ","4.6","8","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Kim Guan Cooked Food","Hawker Stall ","4.1","7","Unknown","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Xiang Jun Noodle House","Hawker Stall ","4.0","7","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Bun Lee Beverages","Cafe ","4.0","6","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Hup Yuan Hakka Yong Tau Foo","Restaurant ","3.0","5","Unknown","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Market Boy","Grocery delivery service ","4.3","4","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"合乐 He Le Soya Bean Drink Grass Jelly Drink","Hawker Stall ","4.8","4","Unknown","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Nazneen Meat House","Butcher shop ","3.8","4","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"New Choy Lam Eating House","Hawker Stall ","4.8","4","Unknown","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Hai Tong Noodle House","Hawker Stall ","1.8","4","Unknown","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Ah Lee Hokkien Fried Prawn Noodle and economy fried bee hoon #01-194","Hawker Stall ","5.0","3","Unknown","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Heng Heng Cooked Food (Youtiao)","Hawker Stall ","4.0","3","Unknown","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Wang Jiao Chapter Two","Hawker Stall ","5.0","2","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Fresh farm egg #01-41","Egg supplier ","5.0","1","Unknown","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Auntie Crabs","Restaurant ","4.0","1","Unknown","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Shun Fa Drinks","Coffee shop ","5.0","1","Active","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"#01-43 陳 Ayam Chicken Stall","Poultry store ","5.0","1","Unknown","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"經濟炒米粉 191","Hawker Stall ","5.0","1","Unknown","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Madam Law Fresh farm chicken #01-32","Poultry store ","5.0","1","Unknown","West Coast Market Square 726 Clementi West Street 2, Singapore 120726","2024-10-06"
"Wei Yi Laksa & Prawn Noodle","Hawker Stall ","4.2","218","Active","48A Tanglin Halt Rd, Singapore 148813, Singapore","2024-10-06"
"Edmond Chicken Rice","Hawker Stall ","4.6","175","Active","48A Tanglin Halt Rd, Singapore 148813, Singapore","2024-10-06"
"Guangzhou Mian Shi Wanton Noodle (广州面食)","Hawker Stall ","4.1","172","Active","48A Tanglin Halt Rd, Singapore 148813, Singapore","2024-10-06"
"Tanglin Halt Market","Hawker center ","4.3","93","Active","48A Tanglin Halt Rd, Singapore 148813, Singapore","2024-10-06"
"Tanglin Halt Original Peanut Pancake","Hawker Stall ","4.4","88","Active","48A Tanglin Halt Rd, Singapore 148813, Singapore","2024-10-06"
"Aw's Signature Minced Meat Noodles","Hawker Stall ","4.4","88","Active","48A Tanglin Halt Rd, Singapore 148813, Singapore","2024-10-06"
"Just Eat It 就知道吃","Hawker Stall ","4.8","44","Active","48A Tanglin Halt Rd, Singapore 148813, Singapore","2024-10-06"
"Mei Jia Fried Bee Hoon","Hawker Stall ","4.6","41","Active","48A Tanglin Halt Rd, Singapore 148813, Singapore","2024-10-06"
